epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2698.7,0.38931,1.77206,0.05319,0.22535,1.04803,0.99952,0.99412,0.995,0.89143,0.99952,0.99412,0.995,0.52564,0.51746,2.19883,0.04015,0.29554,1.03558,0.000401249,0.000401249,0.000401249
90,2719.83,0.34546,1.68824,0.05121,0.21343,1.00776,0.9995,0.99412,0.995,0.92778,0.99404,0.98186,0.98987,0.51955,0.44346,2.23743,0.04121,0.26834,0.98951,0.000399157,0.000399157,0.000399157
91,2741.12,0.3607,1.68176,0.05765,0.21492,1.02137,0.99959,0.99412,0.995,0.90304,0.99959,0.99412,0.995,0.53057,0.51236,2.18495,0.04031,0.25665,1.03463,0.000397049,0.000397049,0.000397049
92,2761.65,0.34852,1.6918,0.05129,0.20986,1.00931,0.99965,0.99412,0.995,0.92362,0.99965,0.99412,0.995,0.54021,0.42602,2.14984,0.04063,0.24812,0.99307,0.000394925,0.000394925,0.000394925
93,2781.77,0.33146,1.6668,0.05944,0.20858,1.00099,1,0.99397,0.995,0.93267,1,0.99397,0.995,0.52817,0.42703,2.1771,0.03829,0.2613,0.99018,0.000392786,0.000392786,0.000392786
94,2801.21,0.3241,1.64187,0.05261,0.20236,0.98867,1,0.99371,0.995,0.93815,0.99962,0.98824,0.99316,0.53267,0.41201,2.21121,0.03852,0.24478,0.96754,0.00039063,0.00039063,0.00039063
95,2822.35,0.33486,1.63289,0.04904,0.20431,0.99604,1,0.99377,0.995,0.94302,0.9995,0.98824,0.99311,0.5408,0.41062,2.17785,0.03751,0.24958,0.96678,0.00038846,0.00038846,0.00038846
96,2842.25,0.34887,1.66869,0.05093,0.20945,1.00151,0.99974,0.98824,0.99429,0.92487,0.99974,0.98824,0.9924,0.5085,0.42939,2.27715,0.03831,0.26462,0.9906,0.000386274,0.000386274,0.000386274
97,2862.51,0.31959,1.64565,0.05218,0.19987,0.98433,1,0.98781,0.99418,0.90344,0.9937,0.97647,0.98602,0.51667,0.50188,2.20424,0.03773,0.2675,1.0316,0.000384073,0.000384073,0.000384073
98,2882.76,0.34223,1.64337,0.04835,0.20848,1.01458,0.9996,0.98824,0.99488,0.91746,0.9996,0.98824,0.9928,0.50544,0.48037,2.27925,0.03765,0.26951,1.01027,0.000381857,0.000381857,0.000381857
