filename,color_label,white_score,black_score,orange_score,gray_score,other_score,consistency,edge_density,texture_var,lbp_complexity,has_stripes
artem-astashov-zdGipsMUeWw-unsplash_jpg.rf.50bde99fb54a4db7e69d0762b76a4204.jpg,other,0.0,0.222,0.346,0.0,0.433,0.004,4.88,237.31,248.37,False
artem-makarov-Dh8lrBIwUpc-unsplash_jpg.rf.de1a2ac7f25ff94f8fef6f45851d728e.jpg,orange,0.0,0.0,0.796,0.0,0.204,0.003,10.76,1451.4,242.61,False
ata-mohammadiyan-_mCLPU-qUZI-unsplash_jpg.rf.44d815234efbef9b499c9a7717e66531.jpg,gray,0.03,0.334,0.0,0.636,0.0,0.007,7.33,701.03,241.95,False
attentive-ginger-cat-standing-wooden-floor-near-wicker-basket-bedroom-background_jpg.rf.01fd6c5b03d12a7201a3f9fed2c29576.jpg,orange,0.0,0.0,0.903,0.0,0.097,0.004,5.93,621.92,241.16,False
bangyu-wang-l7DCQuOmX7Q-unsplash_jpg.rf.f139fec0865a8631fa833d6873c37d33.jpg,orange,0.0,0.0,0.868,0.0,0.132,0.004,7.04,936.17,247.88,False
beautiful-adult-fluffy-ragdoll-cat-isolated-white-background_jpg.rf.f82d658b8da2aed6b1b97cb12a3ce6ac.jpg,other,0.351,0.019,0.28,0.027,0.324,0.008,7.94,2343.3,242.04,False
beautiful-animal-scenery-background_jpg.rf.0557e6a89143c8028615b3fe118e5a23.jpg,gray,0.148,0.369,0.006,0.473,0.005,0.002,12.73,885.61,240.5,False
beautiful-cat-home_jpg.rf.feb728947d598205302acf3cb4fbbd19.jpg,orange,0.076,0.0,0.567,0.006,0.351,0.006,8.48,2289.51,242.87,False
beautiful-cat-walks-streets-city_jpg.rf.6c2aed030d9d2b9ed5bc2f43c6184f92.jpg,orange,0.071,0.164,0.53,0.005,0.23,0.002,10.48,619.76,243.35,False
beautiful-gray-cat-brick-wall-background_jpg.rf.34634f58f551d1958115bf87fdae780a.jpg,other,0.0,0.314,0.149,0.024,0.513,0.004,5.19,194.54,242.01,False
beautiful-kitten-where-else-can-rest-after-hard-day-s-work-if-dining-table_jpg.rf.c13eae501ca48adf250131e21fdb4169.jpg,gray,0.18,0.0,0.0,0.817,0.003,0.012,4.14,1962.58,246.53,False
beautiful-procida-island-with-colorful-houses-sunny-summer-day-italy_jpg.rf.8bd2010a6d0ce9bb20c3cd55642919ca.jpg,orange,0.0,0.0,1.0,0.0,0.0,0.003,8.13,1714.11,247.3,False
beautiful-purebred-bengal-cat-domestic-animal-pets-white-interior-with-bright-pink-armchair_jpg.rf.d6bd3b229eb92eaa2ebc1fa40e651180.jpg,orange,0.0,0.183,0.637,0.0,0.18,0.001,11.83,490.08,243.16,False
beautiful-retro-nature-with-black-cat_jpg.rf.9d8535dcfbfdf1e18a6adbd2479e9d5e.jpg,black,0.0,0.866,0.065,0.07,0.0,0.033,3.54,88.96,245.17,False
beautiful-white-cat-gray-background_jpg.rf.ff77f0b8406570ca4959706db014b0b8.jpg,white,0.809,0.0,0.0,0.191,0.0,0.026,5.03,3567.97,246.72,False
beige-kitten-1-_jpg.rf.ecf72443be0fc86289603ee01051a174.jpg,other,0.242,0.0,0.36,0.0,0.398,0.013,5.91,3606.29,244.63,False
bengal-cat-1-_jpg.rf.6b456d48514dab8e90be43e6be24490d.jpg,other,0.319,0.164,0.0,0.517,0.0,0.0,13.35,1457.24,242.96,False
bengal-cat-looking-up_jpg.rf.605a7ab7743b443904fb9dc6cd4de4d1.jpg,orange,0.0,0.418,0.538,0.0,0.044,0.004,8.2,387.95,244.82,False
bengal-cat-studio-3-_jpg.rf.0dab8d2fa22d55b55cac3ba6e8dacd8f.jpg,other,0.284,0.157,0.05,0.159,0.349,0.001,14.87,1612.75,240.73,False
bengal-cat-studio_jpg.rf.1982412456651d39029a6dddc0dad8f7.jpg,other,0.216,0.012,0.541,0.0,0.231,0.005,6.62,2325.52,245.5,False
bengal-kitten-6-months-old_jpg.rf.65b1e21c22acc31360619caa21bbf789.jpg,orange,0.005,0.153,0.7,0.0,0.142,0.006,8.15,1059.81,244.6,False
bengal-kitten-playing-blue-background-cute-purebreed-cat_jpg.rf.8e53087ed9a0aed9291d723998255fc6.jpg,orange,0.0,0.204,0.639,0.0,0.157,0.001,11.44,741.5,245.84,False
bengal-walking-front-white-wall_jpg.rf.dade8ef43c3fb16d19e6b2df4533cc84.jpg,other,0.0,0.163,0.34,0.0,0.497,0.002,7.23,798.97,248.65,False
big-red-cat-his-shadow-sunny-spring-morning-moscow-region-russia_jpg.rf.a7c4325c747b3ed127da1f6452a1a809.jpg,orange,0.0,0.112,0.783,0.0,0.105,0.009,5.68,510.7,240.75,False
birman-cat-studio_jpg.rf.ca656c5126b7ab9c03258a91c6a07607.jpg,orange,0.115,0.0,0.641,0.0,0.244,0.009,7.08,3640.05,241.78,False
black-cat-runs-across-road_jpg.rf.4ff61f187acb243bd77468dc98b50bc4.jpg,black,0.0,0.929,0.0,0.007,0.065,0.024,3.06,50.17,242.86,False
black-cat-walking-minimalist-white-room-with-soft-natural-light-shadows_jpg.rf.d459cce5bc66637cff4d75f725bbb496.jpg,black,0.0,0.797,0.0,0.203,0.0,0.044,3.42,116.17,244.93,False
black-dog-against-plants_jpg.rf.709a266b0105b204880cc57d84c29b57.jpg,black,0.0,1.0,0.0,0.0,0.0,0.013,1.15,29.28,248.67,False
