frame,kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf,bbox_conf
106,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9912,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
107,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9995,0.9907,1.0000,0.9990,0.9907,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
108,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9912,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9756
109,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9990,0.9907,1.0000,0.9990,0.9897,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
110,0.9995,0.9888,0.9980,0.9995,1.0000,1.0000,0.9990,0.9897,1.0000,0.9990,0.9883,0.9941,1.0000,0.9995,0.0000,0.0000,0.0000,0.9751
111,1.0000,0.9888,0.9980,0.9995,1.0000,1.0000,0.9990,0.9902,1.0000,0.9990,0.9897,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
112,1.0000,0.9883,0.9980,0.9995,1.0000,1.0000,0.9990,0.9902,1.0000,0.9990,0.9897,0.9951,1.0000,1.0000,0.0000,0.0000,0.0000,0.9751
113,1.0000,0.9902,0.9985,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9990,0.9878,0.9922,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
114,1.0000,0.9902,0.9985,0.9995,1.0000,1.0000,0.9990,0.9888,1.0000,0.9990,0.9893,0.9932,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
115,1.0000,0.9907,0.9985,0.9995,1.0000,1.0000,0.9990,0.9888,1.0000,0.9990,0.9897,0.9932,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
116,1.0000,0.9907,0.9985,0.9995,1.0000,1.0000,0.9990,0.9897,1.0000,0.9990,0.9922,0.9946,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
117,1.0000,0.9902,0.9985,0.9995,1.0000,1.0000,0.9990,0.9897,1.0000,0.9990,0.9922,0.9946,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
118,1.0000,0.9883,0.9980,0.9990,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9917,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
119,1.0000,0.9888,0.9980,0.9990,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9922,0.9961,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
120,1.0000,0.9883,0.9980,0.9990,1.0000,1.0000,0.9995,0.9917,1.0000,0.9990,0.9941,0.9971,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
121,1.0000,0.9883,0.9980,0.9990,1.0000,1.0000,0.9990,0.9907,1.0000,0.9990,0.9912,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
122,1.0000,0.9883,0.9980,0.9990,1.0000,1.0000,0.9990,0.9902,1.0000,0.9990,0.9912,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
123,1.0000,0.9883,0.9980,0.9990,1.0000,1.0000,0.9990,0.9907,1.0000,0.9990,0.9917,0.9956,1.0000,1.0000,0.0000,0.0000,0.0000,0.9746
