epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1871.29,0.34315,0.85139,0.05245,0.21315,1.00535,1,0.99382,0.995,0.87163,0.99954,0.98824,0.9933,0.72331,0.59591,1.24699,0.03421,0.29552,1.14473,0.00039063,0.00039063,0.00039063
95,1890.59,0.36635,0.81504,0.04988,0.21479,1.02254,1,0.99356,0.995,0.89533,0.99998,0.98824,0.99335,0.72347,0.54015,1.28594,0.03415,0.2897,1.06379,0.00038846,0.00038846,0.00038846
96,1909.9,0.36101,0.83444,0.0531,0.21739,1.01013,0.99931,0.99412,0.995,0.87804,0.99931,0.99412,0.995,0.73216,0.58881,1.23474,0.0328,0.29243,1.11263,0.000386274,0.000386274,0.000386274
97,1930.23,0.33966,0.83123,0.05266,0.20922,1.00279,0.99954,1,0.995,0.86166,0.99954,1,0.995,0.74605,0.66659,1.15826,0.03547,0.30005,1.20423,0.000384073,0.000384073,0.000384073
98,1949.74,0.34977,0.81256,0.04884,0.21243,1.01733,0.99955,1,0.995,0.89357,0.99955,1,0.995,0.7491,0.53141,1.18804,0.0353,0.2681,1.05297,0.000381857,0.000381857,0.000381857
99,1969.49,0.35283,0.8308,0.05622,0.21726,1.01235,0.99961,1,0.995,0.90697,0.99953,0.99412,0.995,0.7318,0.49476,1.17838,0.03453,0.25884,1.02347,0.000379627,0.000379627,0.000379627
100,1988.98,0.33486,0.82974,0.05677,0.21074,0.9857,1,0.99908,0.995,0.92195,0.99375,0.98824,0.99315,0.74025,0.44489,1.23401,0.03478,0.25282,0.99875,0.000377383,0.000377383,0.000377383
101,2008.12,0.33991,0.82343,0.05882,0.21174,1.01048,0.99979,0.99412,0.995,0.89956,0.99979,0.99412,0.995,0.74677,0.52889,1.14377,0.03594,0.27896,1.05474,0.000375125,0.000375125,0.000375125
102,2027.2,0.33396,0.77511,0.05765,0.20523,1.00115,0.99925,0.99412,0.995,0.87318,0.99925,0.99412,0.995,0.74766,0.64806,1.1469,0.0342,0.30431,1.15911,0.000372853,0.000372853,0.000372853
103,2046.43,0.34118,0.77917,0.05609,0.20825,1.00948,0.99963,0.99412,0.995,0.87946,0.99963,0.99412,0.995,0.75242,0.60323,1.13881,0.03613,0.29063,1.14226,0.000370568,0.000370568,0.000370568
104,2065.45,0.32969,0.76195,0.05561,0.20447,0.99659,0.99965,0.99412,0.995,0.8958,0.99965,0.99412,0.995,0.74155,0.527,1.16862,0.03416,0.28472,1.03689,0.00036827,0.00036827,0.00036827
105,2084.81,0.31863,0.75773,0.05298,0.2054,0.98531,0.99966,0.99412,0.995,0.89945,0.99966,0.99412,0.995,0.75095,0.5161,1.14835,0.03643,0.26425,1.03372,0.000365958,0.000365958,0.000365958
106,2103.85,0.33898,0.78255,0.05253,0.20948,0.99701,1,0.99972,0.995,0.89109,1,0.99972,0.995,0.72996,0.54046,1.18772,0.03298,0.27178,1.04607,0.000363634,0.000363634,0.000363634
107,2123.24,0.32049,0.77569,0.05019,0.20251,0.99372,0.99977,1,0.995,0.84049,0.99977,1,0.995,0.76583,0.73842,1.06095,0.03414,0.29999,1.2778,0.000361298,0.000361298,0.000361298
108,2142.58,0.32529,0.75919,0.05149,0.20688,0.98821,0.99976,1,0.995,0.86607,0.99976,1,0.995,0.75765,0.63885,1.13001,0.03242,0.28631,1.14901,0.000358949,0.000358949,0.000358949
109,2162.13,0.31522,0.70395,0.05158,0.20045,0.98823,0.9999,1,0.995,0.89068,0.9999,1,0.995,0.76748,0.55299,1.01484,0.03288,0.26668,1.07509,0.000356588,0.000356588,0.000356588
110,2181.32,0.32017,0.70622,0.05088,0.20134,0.98345,1,0.99974,0.995,0.89519,1,0.99974,0.995,0.78117,0.5539,1.0429,0.03312,0.26394,1.08069,0.000354216,0.000354216,0.000354216
111,2200.58,0.31801,0.71901,0.04726,0.20495,0.97244,1,0.99311,0.995,0.90691,1,0.988,0.99494,0.76586,0.50321,1.07772,0.03469,0.27068,1.03271,0.000351832,0.000351832,0.000351832
112,2219.77,0.32272,0.72393,0.05353,0.20556,0.98161,0.9999,0.99412,0.995,0.86476,0.9999,0.99412,0.995,0.77119,0.64061,1.06801,0.03788,0.30028,1.19273,0.000349438,0.000349438,0.000349438
113,2239.26,0.3187,0.71378,0.05884,0.1952,0.98037,0.99973,0.99412,0.995,0.89988,0.99973,0.99412,0.995,0.7717,0.53691,1.0765,0.03598,0.28054,1.08145,0.000347032,0.000347032,0.000347032
114,2258.58,0.30488,0.69442,0.05361,0.19552,0.9775,0.99972,0.99412,0.995,0.89391,0.99972,0.99412,0.995,0.76598,0.537,1.07193,0.03443,0.28701,1.07557,0.000344616,0.000344616,0.000344616
115,2277.59,0.3264,0.71567,0.06118,0.20592,0.99221,1,0.9935,0.995,0.88182,1,0.9935,0.995,0.75528,0.56895,1.08615,0.03426,0.27493,1.1019,0.000342189,0.000342189,0.000342189
116,2296.87,0.32256,0.70126,0.05832,0.20005,0.97394,1,0.99962,0.995,0.86611,1,0.99962,0.995,0.77873,0.64746,1.02396,0.03305,0.27937,1.18163,0.000339752,0.000339752,0.000339752
