run_tag,model_name,video_name,sample_index,source_frame_id,mean_confidence,active_kpts,frame_jitter,unstable
20260510_225358,val_best.pt,2752855.mp4,197,395,0.982652,17,0.022668,0
20260510_225358,val_best.pt,2752855.mp4,198,397,0.983973,17,0.017954,0
20260510_225358,val_best.pt,2752855.mp4,199,399,0.983169,17,0.017565,0
20260510_225358,val_best.pt,2752855.mp4,200,401,0.984777,17,0.028442,0
20260510_225358,val_best.pt,2752855.mp4,201,403,0.987362,17,0.032655,0
20260510_225358,val_best.pt,2752855.mp4,202,405,0.989028,17,0.027616,0
20260510_225358,val_best.pt,2752855.mp4,203,407,0.988798,17,0.022407,0
20260510_225358,val_best.pt,2752855.mp4,204,409,0.988511,17,0.017648,0
20260510_225358,val_best.pt,2752855.mp4,205,411,0.988109,17,0.017755,0
20260510_225358,val_best.pt,2752855.mp4,206,413,0.986328,17,0.032805,0
20260510_225358,val_best.pt,2752855.mp4,207,415,0.987333,17,0.035613,0
20260510_225358,val_best.pt,2752855.mp4,208,417,0.984806,17,0.025089,0
20260510_225358,val_best.pt,2752855.mp4,209,419,0.982106,17,0.022671,0
20260510_225358,val_best.pt,2752855.mp4,210,421,0.983284,17,0.027190,0
20260510_225358,val_best.pt,2752855.mp4,211,423,0.981646,17,0.024763,0
20260510_225358,val_best.pt,2752855.mp4,212,425,0.980612,17,0.023577,0
20260510_225358,val_best.pt,2752855.mp4,213,427,0.971852,17,0.022552,0
20260510_225358,val_best.pt,2752855.mp4,214,429,0.969037,17,0.023699,0
20260510_225358,val_best.pt,2752855.mp4,215,431,0.965447,17,0.019577,0
20260510_225358,val_best.pt,2752855.mp4,216,433,0.960564,17,0.021419,0
20260510_225358,val_best.pt,2752855.mp4,217,435,0.963379,17,0.011658,0
20260510_225358,val_best.pt,2752855.mp4,218,437,0.958022,17,0.017675,0
20260510_225358,val_best.pt,2752855.mp4,219,439,0.955624,17,0.017936,0
20260510_225358,val_best.pt,2752855.mp4,220,441,0.954834,17,0.027384,0
20260510_225358,val_best.pt,2752855.mp4,221,443,0.957850,17,0.014930,0
20260510_225358,val_best.pt,2752855.mp4,222,445,0.959616,17,0.020000,0
20260510_225358,val_best.pt,2752855.mp4,223,447,0.967486,17,0.021393,0
20260510_225358,val_best.pt,2752855.mp4,224,449,0.973690,17,0.018696,0
20260510_225358,val_best.pt,2752855.mp4,225,451,0.978774,17,0.016514,0
20260510_225358,val_best.pt,2752855.mp4,226,453,0.983341,17,0.022975,0
20260510_225358,val_best.pt,2752855.mp4,227,455,0.982135,17,0.021601,0
20260510_225358,val_best.pt,2752855.mp4,228,457,0.982278,17,0.028082,0
