date,time,behavior_id,behavior_name,duration_sec,activity
2026-05-05,19:53:48,1,舔舐,2.1,15
2026-05-05,19:53:50,1,舔舐,2.1,6
2026-05-05,19:53:52,1,舔舐,2.1,6
2026-05-05,19:53:54,1,舔舐,2.1,4
2026-05-05,19:53:57,1,舔舐,2.0,9
2026-05-05,19:53:59,1,舔舐,2.1,11
2026-05-05,19:54:01,1,舔舐,2.1,10
2026-05-05,19:54:03,1,舔舐,2.1,6
2026-05-05,19:54:05,1,舔舐,2.1,5
2026-05-05,19:54:07,1,舔舐,2.1,4
2026-05-05,19:54:09,1,舔舐,2.1,4
2026-05-05,19:54:11,1,舔舐,2.1,9
2026-05-05,19:54:13,1,舔舐,2.1,9
2026-05-05,19:54:15,1,舔舐,2.1,9
2026-05-05,19:54:17,1,舔舐,2.1,7
2026-05-05,19:54:20,1,舔舐,2.1,6
2026-05-05,19:54:22,1,舔舐,2.1,10
2026-05-05,19:54:24,1,舔舐,2.0,11
2026-05-05,19:54:26,1,舔舐,2.0,9
2026-05-05,19:54:28,1,舔舐,2.1,5
2026-05-05,19:54:30,1,舔舐,2.1,4
2026-05-05,19:54:32,1,舔舐,2.1,4
2026-05-05,19:54:34,1,舔舐,2.1,5
2026-05-05,19:54:36,1,舔舐,2.1,3
2026-05-05,19:54:38,1,舔舐,2.1,6
2026-05-05,19:54:40,1,舔舐,2.1,5
2026-05-05,19:54:43,1,舔舐,2.1,7
2026-05-05,19:54:45,1,舔舐,2.1,8
2026-05-05,19:54:47,1,舔舐,2.1,8
2026-05-05,19:54:49,1,舔舐,2.1,10
2026-05-05,19:54:51,1,舔舐,2.1,3
2026-05-05,19:54:53,1,舔舐,2.1,8
2026-05-05,19:54:55,1,舔舐,2.1,14
2026-05-05,19:54:57,1,舔舐,2.1,11
2026-05-05,19:54:59,1,舔舐,2.1,14
2026-05-05,19:55:02,1,舔舐,2.2,12
2026-05-05,19:55:04,1,舔舐,2.1,7
2026-05-05,19:55:06,1,舔舐,2.1,8
2026-05-05,19:55:08,1,舔舐,2.1,8
2026-05-05,19:55:10,1,舔舐,2.0,14
2026-05-05,19:55:12,1,舔舐,2.1,12
2026-05-05,19:55:14,1,舔舐,2.1,11
2026-05-05,19:55:16,1,舔舐,2.0,7
2026-05-05,19:55:18,1,舔舐,2.1,12
2026-05-05,19:55:20,1,舔舐,2.3,13
2026-05-05,19:55:23,1,舔舐,2.1,10
2026-05-05,19:55:25,1,舔舐,2.1,8
2026-05-05,19:55:27,1,舔舐,2.1,11
2026-05-05,19:55:29,1,舔舐,2.1,5
2026-05-05,19:55:31,1,舔舐,2.1,6
2026-05-05,19:55:33,1,舔舐,2.1,4
2026-05-05,19:55:35,1,舔舐,2.1,17
2026-05-05,19:55:37,1,舔舐,2.1,13
2026-05-05,19:55:39,1,舔舐,2.1,10
2026-05-05,19:55:41,1,舔舐,2.0,6
2026-05-05,19:55:43,1,舔舐,2.1,11
2026-05-05,19:55:45,1,舔舐,2.1,15
2026-05-05,19:55:47,1,舔舐,2.0,12
2026-05-05,19:55:50,1,舔舐,2.1,12
2026-05-05,19:55:52,1,舔舐,2.1,11
